combination,model_dQTc_ms,model_risk_tier,faers_n_coreported,faers_ROR,faers_CI_lo,faers_CI_hi,faers_signal,concordant
MPH+AMP,23.8,HIGH,577.0,0.446,0.129,1.545,False,False
AMP+ARI,17.9,MODERATE,375.0,0.687,0.198,2.384,False,False
MPH+ARI,17.9,MODERATE,677.0,8.154,6.097,10.903,True,True
MPH+NOR,15.0,MODERATE,,,,,False,False
AMP+NOR,15.0,MODERATE,4.0,11.41,0.614,211.965,False,False
MPH+QUE,12.7,MODERATE,277.0,5.252,3.037,9.08,True,True
AMP+QUE,12.7,MODERATE,237.0,1.533,0.533,4.406,False,False
AMP+IMI,12.2,MODERATE,6.0,7.899,0.445,140.245,False,False
MPH+IMI,12.2,MODERATE,11.0,4.465,0.263,75.779,False,False
AMP+RIS,11.7,MODERATE,364.0,1.282,0.506,3.25,False,False
MPH+RIS,11.7,MODERATE,875.0,0.648,0.28,1.5,False,False
AMP+FLU,11.7,MODERATE,416.0,1.373,0.592,3.185,False,False
MPH+FLU,11.7,MODERATE,440.0,0.116,0.007,1.865,False,False
AMP+ESC,11.3,MODERATE,143.0,0.358,0.022,5.748,False,False
MPH+SER,11.3,MODERATE,578.0,12.789,9.84,16.621,True,True
AMP+SER,11.3,MODERATE,431.0,2.812,1.564,5.055,True,True
MPH+ESC,11.3,MODERATE,141.0,1.096,0.219,5.479,False,False
ARI+NOR,11.0,MODERATE,5.0,9.336,0.516,168.859,False,False
ARI+IMI,8.0,LOW-MOD,11.0,14.673,2.651,81.21,True,False
QUE+ARI,8.0,LOW-MOD,684.0,1.6,0.869,2.944,False,True
ARI+SER,7.0,LOW-MOD,1018.0,6.777,5.24,8.766,True,False
ARI+FLU,7.0,LOW-MOD,912.0,1.311,0.732,2.346,False,True
RIS+ARI,7.0,LOW-MOD,1070.0,1.708,1.064,2.742,True,False
ARI+ESC,6.5,LOW-MOD,294.0,2.315,1.064,5.039,True,False
AMP+CLO,6.1,LOW-MOD,389.0,0.93,0.324,2.664,False,True
MPH+CLO,6.1,LOW-MOD,613.0,1.27,0.618,2.611,False,True
MPH+GUA,6.1,LOW-MOD,798.0,3.397,2.287,5.044,True,False
AMP+GUA,6.1,LOW-MOD,416.0,0.371,0.075,1.842,False,True
IMI+NOR,5.5,LOW-MOD,,,,,False,True
QUE+NOR,5.5,LOW-MOD,48.0,1.059,0.065,17.17,False,True
SER+NOR,4.5,LOW,8.0,6.041,0.349,104.674,False,True
FLU+NOR,4.5,LOW,5.0,9.336,0.516,168.859,False,True
RIS+NOR,4.5,LOW,3.0,14.67,0.758,284.059,False,True
ESC+NOR,4.0,LOW,48.0,3.243,0.638,16.481,False,True
ARI+CLO,2.7,LOW,605.0,0.425,0.123,1.473,False,True
ARI+GUA,2.7,LOW,359.0,10.246,7.138,14.708,True,False
QUE+IMI,2.5,LOW,12.0,4.108,0.243,69.388,False,True
RIS+QUE,2.0,LOW,769.0,1.283,0.676,2.435,False,True
QUE+SER,2.0,LOW,831.0,5.843,4.315,7.912,True,False
QUE+FLU,2.0,LOW,545.0,9.18,6.748,12.488,True,False
QUE+ESC,1.5,LOW,266.0,0.58,0.117,2.887,False,True
FLU+IMI,1.5,LOW,16.0,3.112,0.187,51.877,False,True
SER+IMI,1.5,LOW,10.0,16.217,2.897,90.771,True,False
RIS+IMI,1.5,LOW,18.0,2.775,0.167,46.062,False,True
RIS+SER,1.0,LOW,720.0,0.645,0.255,1.629,False,True
RIS+FLU,1.0,LOW,476.0,3.687,2.255,6.03,True,False
SER+FLU,1.0,LOW,358.0,0.72,0.207,2.498,False,True
ESC+IMI,1.0,LOW,6.0,28.012,4.604,170.417,True,False
SER+ESC,0.5,LOW,158.0,0.978,0.196,4.883,False,True
RIS+ESC,0.5,LOW,165.0,0.31,0.019,4.98,False,True
FLU+ESC,0.5,LOW,143.0,0.358,0.022,5.748,False,True
CLO+NOR,0.0,LOW,4.0,11.41,0.614,211.965,False,True
GUA+NOR,0.0,LOW,,,,,False,True
QUE+GUA,-2.6,LOW,127.0,13.151,7.608,22.732,True,False
QUE+CLO,-2.6,LOW,297.0,0.869,0.25,3.017,False,True
CLO+IMI,-3.1,LOW,7.0,6.846,0.391,119.888,False,True
GUA+IMI,-3.1,LOW,6.0,7.899,0.445,140.245,False,True
FLU+CLO,-3.6,LOW,411.0,0.125,0.008,1.997,False,True
SER+GUA,-3.6,LOW,264.0,2.584,1.186,5.63,True,False
SER+CLO,-3.6,LOW,347.0,0.743,0.214,2.578,False,True
RIS+CLO,-3.6,LOW,541.0,1.833,0.965,3.484,False,True
RIS+GUA,-3.6,LOW,405.0,1.934,0.939,3.985,False,True
FLU+GUA,-3.6,LOW,181.0,0.283,0.018,4.539,False,True
ESC+GUA,-4.2,LOW,106.0,1.46,0.291,7.318,False,True
ESC+CLO,-4.2,LOW,97.0,2.689,0.766,9.442,False,True
CLO+GUA,-6.1,LOW,201.0,0.255,0.016,4.087,False,True
